Issuers,StepName,Size_bytes
4,ProofOfPossession,192
4,BLS Key Exchange,3672
4,SingleProofOfPossession,192
4,BLS Key Exchange + All PoP,3672
4,SingleProofOfPossession,192
4,BLS Key Exchange + All PoP,3672
4,SingleProofOfPossession,192
4,BLS Key Exchange + All PoP,3672
16,SingleProofOfPossession,192
16,BLS Key Exchange + All PoP,73440
16,SingleProofOfPossession,192
16,BLS Key Exchange + All PoP,73440
16,SingleProofOfPossession,192
16,BLS Key Exchange + All PoP,73440
16,SingleProofOfPossession,192
16,BLS Key Exchange + All PoP,73440
16,SingleProofOfPossession,192
16,BLS Key Exchange + All PoP,73440
16,SingleProofOfPossession,192
16,BLS Key Exchange + All PoP,73440
13,SingleProofOfPossession,192
13,BLS Key Exchange + All PoP,47736
4,SingleProofOfPossession,192
4,BLS Key Exchange + All PoP,3672
16,SingleProofOfPossession,192
16,BLS Key Exchange + All PoP,73440
8,SingleProofOfPossession,192
8,BLS Key Exchange + All PoP,17136
32,SingleProofOfPossession,192
32,BLS Key Exchange + All PoP,303552
64,SingleProofOfPossession,192
64,BLS Key Exchange + All PoP,1233792
128,SingleProofOfPossession,192
128,BLS Key Exchange + All PoP,4974336
256,SingleProofOfPossession,192
256,BLS Key Exchange + All PoP,19975680
